[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=NOT_RELEASED | frame=(200.33333333333334, 703.0, 74.33333333333329, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=NOT_RELEASED | frame=(225.00000000000003, 731.0, 74.33333333333334, 12.0)
[A11Y-INVENTORY] state=p009-about | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=NOT_RELEASED | frame=(212.66666666666666, 759.0, 74.33333333333334, 12.0)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 4) | Hit area is too small | label=复制版本信息 | frame=(174.0, 378.0, 93.5, 15.333343505859375)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=preview | frame=(209.66666666666666, 188.66666666666666, 47.66666666666666, 14.333333333333343)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=微信小程序 PREVIEW | frame=(39.0, 283.0, 109.33333333333331, 13.333333333333371)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=App · Android NOT_RELEASED | frame=(230.0, 283.0, 170.66666666666669, 13.333333333333371)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=App · iOS NOT_RELEASED | frame=(39.0, 310.33333333333337, 145.66666666666666, 13.333333333333314)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=H5 / Web NOT_RELEASED | frame=(230.0, 310.33333333333337, 142.66666666666669, 13.333333333333314)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=桌面端 NOT_RELEASED | frame=(39.0, 337.66666666666663, 125.33333333333331, 13.333333333333371)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=桌面端 NOT_RELEASED | frame=(39.0, 337.66666666666663, 125.33333333333331, 13.333333333333371)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=桌面端 NOT_RELEASED | frame=(39.0, 337.66666666666663, 125.33333333333331, 13.333333333333371)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=1.0.5-preview | frame=(32.0, 177.0, 159.66666666666666, 28.666666666666657)
[A11Y-INVENTORY] state=p010-versions | XCUIAccessibilityAuditType(rawValue: 8) | Label not human-readable | label=桌面端 NOT_RELEASED | frame=(39.0, 337.66666666666663, 125.33333333333331, 13.333333333333371)
