
===== capture start 2026-09-18 12:14:52 port=COM12 =====
[12:53:15] I (3251331) status_manager: status published online=1 usb_hid_ready=1
[12:53:25] I (3261331) status_manager: status published online=1 usb_hid_ready=1
[12:53:35] I (3271331) status_manager: status published online=1 usb_hid_ready=1
[12:53:45] I (3281331) status_manager: status published online=1 usb_hid_ready=1
[12:53:55] I (3291331) status_manager: status published online=1 usb_hid_ready=1
[12:54:05] I (3301331) status_manager: status published online=1 usb_hid_ready=1
[12:54:15] I (3311331) status_manager: status published online=1 usb_hid_ready=1
[12:54:25] I (3321331) status_manager: status published online=1 usb_hid_ready=1
[12:54:35] I (3331331) status_manager: status published online=1 usb_hid_ready=1
[12:54:45] I (3341331) status_manager: status published online=1 usb_hid_ready=1
[12:54:55] I (3351331) status_manager: status published online=1 usb_hid_ready=1
[12:55:05] I (3361331) status_manager: status published online=1 usb_hid_ready=1
[12:55:15] I (3371331) status_manager: status published online=1 usb_hid_ready=1
[12:55:25] I (3381331) status_manager: status published online=1 usb_hid_ready=1
[12:55:35] I (3391331) status_manager: status published online=1 usb_hid_ready=1
[12:55:45] I (3401331) status_manager: status published online=1 usb_hid_ready=1
[12:55:55] I (3411331) status_manager: status published online=1 usb_hid_ready=1
[12:56:05] I (3421331) status_manager: status published online=1 usb_hid_ready=1
[12:56:15] I (3431331) status_manager: status published online=1 usb_hid_ready=1
[12:56:25] I (3441331) status_manager: status published online=1 usb_hid_ready=1
[12:56:35] I (3451331) status_manager: status published online=1 usb_hid_ready=1
[12:56:45] I (3461331) status_manager: status published online=1 usb_hid_ready=1
[12:56:55] I (3471331) status_manager: status published online=1 usb_hid_ready=1
[12:57:05] I (3481331) status_manager: status published online=1 usb_hid_ready=1
[12:57:15] I (3491331) status_manager: status published online=1 usb_hid_ready=1
[12:57:25] I (3501331) status_manager: status published online=1 usb_hid_ready=1
[12:57:35] I (3511331) status_manager: status published online=1 usb_hid_ready=1
[12:57:45] I (3521331) status_manager: status published online=1 usb_hid_ready=1
[12:57:55] I (3531331) status_manager: status published online=1 usb_hid_ready=1
[12:58:05] I (3541331) status_manager: status published online=1 usb_hid_ready=1
[12:58:15] I (3551331) status_manager: status published online=1 usb_hid_ready=1
[12:58:25] I (3561331) status_manager: status published online=1 usb_hid_ready=1
[12:58:35] I (3571331) status_manager: status published online=1 usb_hid_ready=1
[12:58:45] I (3581331) status_manager: status published online=1 usb_hid_ready=1
[12:58:55] I (3591331) status_manager: status published online=1 usb_hid_ready=1
[12:59:05] I (3601331) status_manager: status published online=1 usb_hid_ready=1
[12:59:15] I (3611331) status_manager: status published online=1 usb_hid_ready=1
[12:59:25] I (3621331) status_manager: status published online=1 usb_hid_ready=1
[12:59:35] I (3631331) status_manager: status published online=1 usb_hid_ready=1
[12:59:45] I (3641331) status_manager: status published online=1 usb_hid_ready=1
[12:59:55] I (3651331) status_manager: status published online=1 usb_hid_ready=1
[13:00:05] I (3661331) status_manager: status published online=1 usb_hid_ready=1
[13:00:15] I (3671331) status_manager: status published online=1 usb_hid_ready=1
[13:00:25] I (3681331) status_manager: status published online=1 usb_hid_ready=1
[13:00:35] I (3691331) status_manager: status published online=1 usb_hid_ready=1
[13:00:45] I (3701331) status_manager: status published online=1 usb_hid_ready=1
[13:00:55] I (3711331) status_manager: status published online=1 usb_hid_ready=1
[13:01:05] I (3721331) status_manager: status published online=1 usb_hid_ready=1
[13:01:15] I (3731331) status_manager: status published online=1 usb_hid_ready=1
[13:01:25] I (3741331) status_manager: status published online=1 usb_hid_ready=1
[13:01:35] I (3751331) status_manager: status published online=1 usb_hid_ready=1
[13:01:45] I (3761331) status_manager: status published online=1 usb_hid_ready=1
[13:01:55] I (3771331) status_manager: status published online=1 usb_hid_ready=1
[13:02:05] I (3781331) status_manager: status published online=1 usb_hid_ready=1
[13:02:15] I (3791331) status_manager: status published online=1 usb_hid_ready=1
[13:02:25] I (3801331) status_manager: status published online=1 usb_hid_ready=1
[13:02:35] I (3811331) status_manager: status published online=1 usb_hid_ready=1
[13:02:45] I (3821331) status_manager: status published online=1 usb_hid_ready=1
[13:02:55] I (3831331) status_manager: status published online=1 usb_hid_ready=1
[13:03:05] I (3841331) status_manager: status published online=1 usb_hid_ready=1
[13:03:15] I (3851331) status_manager: status published online=1 usb_hid_ready=1
[13:03:25] I (3861331) status_manager: status published online=1 usb_hid_ready=1
[13:03:35] I (3871331) status_manager: status published online=1 usb_hid_ready=1
[13:03:45] I (3881331) status_manager: status published online=1 usb_hid_ready=1
[13:03:55] I (3891331) status_manager: status published online=1 usb_hid_ready=1
[13:04:05] I (3901331) status_manager: status published online=1 usb_hid_ready=1
[13:04:15] I (3911331) status_manager: status published online=1 usb_hid_ready=1
[13:04:25] I (3921331) status_manager: status published online=1 usb_hid_ready=1
[13:04:35] I (3931331) status_manager: status published online=1 usb_hid_ready=1
[13:04:45] I (3941331) status_manager: status published online=1 usb_hid_ready=1
[13:04:55] I (3951331) status_manager: status published online=1 usb_hid_ready=1
[13:05:05] I (3961331) status_manager: status published online=1 usb_hid_ready=1
[13:05:15] I (3971331) status_manager: status published online=1 usb_hid_ready=1
[13:05:25] I (3981331) status_manager: status published online=1 usb_hid_ready=1
[13:05:35] I (3991331) status_manager: status published online=1 usb_hid_ready=1
[13:05:45] I (4001331) status_manager: status published online=1 usb_hid_ready=1
[13:05:55] I (4011331) status_manager: status published online=1 usb_hid_ready=1
[13:06:05] I (4021331) status_manager: status published online=1 usb_hid_ready=1
[13:06:15] I (4031331) status_manager: status published online=1 usb_hid_ready=1
[13:06:25] I (4041331) status_manager: status published online=1 usb_hid_ready=1
[13:06:35] I (4051331) status_manager: status published online=1 usb_hid_ready=1
[13:06:45] I (4061331) status_manager: status published online=1 usb_hid_ready=1
[13:06:55] I (4071331) status_manager: status published online=1 usb_hid_ready=1
[13:07:05] I (4081331) status_manager: status published online=1 usb_hid_ready=1
[13:07:15] I (4091331) status_manager: status published online=1 usb_hid_ready=1
[13:07:25] I (4101331) status_manager: status published online=1 usb_hid_ready=1
[13:07:35] I (4111331) status_manager: status published online=1 usb_hid_ready=1
[13:07:45] I (4121331) status_manager: status published online=1 usb_hid_ready=1
[13:07:55] I (4131331) status_manager: status published online=1 usb_hid_ready=1
[13:08:05] I (4141331) status_manager: status published online=1 usb_hid_ready=1
[13:08:15] I (4151331) status_manager: status published online=1 usb_hid_ready=1
[13:08:25] I (4161331) status_manager: status published online=1 usb_hid_ready=1
[13:08:35] I (4171331) status_manager: status published online=1 usb_hid_ready=1
[13:08:45] I (4181331) status_manager: status published online=1 usb_hid_ready=1
[13:08:55] I (4191331) status_manager: status published online=1 usb_hid_ready=1
[13:09:05] I (4201331) status_manager: status published online=1 usb_hid_ready=1
[13:09:15] I (4211331) status_manager: status published online=1 usb_hid_ready=1
[13:09:25] I (4221331) status_manager: status published online=1 usb_hid_ready=1
[13:09:35] I (4231331) status_manager: status published online=1 usb_hid_ready=1
[13:09:45] I (4241331) status_manager: status published online=1 usb_hid_ready=1
[13:09:55] I (4251331) status_manager: status published online=1 usb_hid_ready=1
[13:10:05] I (4261331) status_manager: status published online=1 usb_hid_ready=1
[13:10:15] I (4271331) status_manager: status published online=1 usb_hid_ready=1
[13:10:25] I (4281331) status_manager: status published online=1 usb_hid_ready=1
[13:10:35] I (4291331) status_manager: status published online=1 usb_hid_ready=1
[13:10:45] I (4301331) status_manager: status published online=1 usb_hid_ready=1
[13:10:55] I (4311331) status_manager: status published online=1 usb_hid_ready=1
[13:11:05] I (4321331) status_manager: status published online=1 usb_hid_ready=1
[13:11:15] I (4331331) status_manager: status published online=1 usb_hid_ready=1
[13:11:25] I (4341331) status_manager: status published online=1 usb_hid_ready=1
[13:11:35] I (4351331) status_manager: status published online=1 usb_hid_ready=1
[13:11:45] I (4361331) status_manager: status published online=1 usb_hid_ready=1
[13:11:55] I (4371331) status_manager: status published online=1 usb_hid_ready=1
[13:12:05] I (4381331) status_manager: status published online=1 usb_hid_ready=1
[13:12:15] I (4391331) status_manager: status published online=1 usb_hid_ready=1
[13:12:25] I (4401331) status_manager: status published online=1 usb_hid_ready=1
[13:12:35] I (4411331) status_manager: status published online=1 usb_hid_ready=1
[13:12:45] I (4421331) status_manager: status published online=1 usb_hid_ready=1
[13:12:55] I (4431331) status_manager: status published online=1 usb_hid_ready=1
[13:13:05] I (4441331) status_manager: status published online=1 usb_hid_ready=1
[13:13:15] I (4451331) status_manager: status published online=1 usb_hid_ready=1
[13:13:25] I (4461331) status_manager: status published online=1 usb_hid_ready=1
[13:13:35] I (4471331) status_manager: status published online=1 usb_hid_ready=1
[13:13:45] I (4481331) status_manager: status published online=1 usb_hid_ready=1
[13:13:55] I (4491331) status_manager: status published online=1 usb_hid_ready=1
[13:14:05] I (4501331) status_manager: status published online=1 usb_hid_ready=1
[13:14:15] I (4511331) status_manager: status published online=1 usb_hid_ready=1
[13:14:25] I (4521331) status_manager: status published online=1 usb_hid_ready=1
[13:14:35] I (4531331) status_manager: status published online=1 usb_hid_ready=1
[13:14:45] I (4541331) status_manager: status published online=1 usb_hid_ready=1
[13:14:55] I (4551331) status_manager: status published online=1 usb_hid_ready=1
[13:15:05] I (4561331) status_manager: status published online=1 usb_hid_ready=1
[13:15:15] I (4571331) status_manager: status published online=1 usb_hid_ready=1
[13:15:25] I (4581331) status_manager: status published online=1 usb_hid_ready=1
[13:15:35] I (4591331) status_manager: status published online=1 usb_hid_ready=1
[13:15:45] I (4601331) status_manager: status published online=1 usb_hid_ready=1
[13:15:55] I (4611331) status_manager: status published online=1 usb_hid_ready=1
[13:16:05] I (4621331) status_manager: status published online=1 usb_hid_ready=1
[13:16:15] I (4631331) status_manager: status published online=1 usb_hid_ready=1
[13:16:25] I (4641331) status_manager: status published online=1 usb_hid_ready=1
[13:16:35] I (4651331) status_manager: status published online=1 usb_hid_ready=1
[13:16:45] I (4661331) status_manager: status published online=1 usb_hid_ready=1
[13:16:55] I (4671331) status_manager: status published online=1 usb_hid_ready=1
[13:17:05] I (4681331) status_manager: status published online=1 usb_hid_ready=1
[13:17:15] I (4691331) status_manager: status published online=1 usb_hid_ready=1
[13:17:25] I (4701331) status_manager: status published online=1 usb_hid_ready=1
[13:17:35] I (4711331) status_manager: status published online=1 usb_hid_ready=1
[13:17:45] I (4721331) status_manager: status published online=1 usb_hid_ready=1
[13:17:55] I (4731331) status_manager: status published online=1 usb_hid_ready=1
[13:18:05] I (4741331) status_manager: status published online=1 usb_hid_ready=1
[13:18:15] I (4751331) status_manager: status published online=1 usb_hid_ready=1
[13:18:25] I (4761331) status_manager: status published online=1 usb_hid_ready=1
[13:18:35] I (4771331) status_manager: status published online=1 usb_hid_ready=1
[13:18:45] I (4781331) status_manager: status published online=1 usb_hid_ready=1
[13:18:55] I (4791331) status_manager: status published online=1 usb_hid_ready=1
[13:19:05] I (4801331) status_manager: status published online=1 usb_hid_ready=1
[13:19:15] I (4811331) status_manager: status published online=1 usb_hid_ready=1
[13:19:25] I (4821331) status_manager: status published online=1 usb_hid_ready=1
[13:19:35] I (4831331) status_manager: status published online=1 usb_hid_ready=1
[13:19:45] I (4841331) status_manager: status published online=1 usb_hid_ready=1
[13:19:55] I (4851331) status_manager: status published online=1 usb_hid_ready=1
[13:20:05] I (4861331) status_manager: status published online=1 usb_hid_ready=1
[13:20:15] I (4871331) status_manager: status published online=1 usb_hid_ready=1
[13:20:25] I (4881331) status_manager: status published online=1 usb_hid_ready=1
[13:20:35] I (4891331) status_manager: status published online=1 usb_hid_ready=1
[13:20:45] I (4901331) status_manager: status published online=1 usb_hid_ready=1
[13:20:55] I (4911331) status_manager: status published online=1 usb_hid_ready=1
